,text,favourite_count,retweet_count,created_at
152,"RT @LgbtqIndia: Tamil Nadu: 'Only mother's womb and cemetery are safe', minor alleges sexual harassment in her suicide note.
https://t.co/f…",0,0,2021-12-21 06:57:07+00:00
153,"RT @LgbtqIndia: Can straight men have deep, intimate, and emotionally-dependent friendships with other men? Yes, they can. Does it have to…",0,0,2021-12-21 06:56:54+00:00
154,"RT @LgbtqIndia: NCERT trans training manual removed from website wasn’t final, Centre to LS https://t.co/JaOr1z759B",0,0,2021-12-21 06:56:46+00:00
155,"RT @LgbtqIndia: “The Only Way to Survive is by Being Loud” - Experience of a Transwoman
https://t.co/b1nfilRTw5",0,0,2021-12-21 06:56:01+00:00
156,"RT @LgbtqIndia: Mother, 5 others kill son for becoming transwoman in Salem, arrested  https://t.co/fiwnZaQQdu via @dt_next",0,0,2021-12-21 06:54:57+00:00
157,RT @LgbtqIndia: Karnataka Police To Recruit Transgender Candidates For The First Time Under Amended Law. https://t.co/4BSWkivj6a,0,0,2021-12-21 06:52:01+00:00
158,RT @LgbtqIndia: Karnataka Police To Recruit Transgender Candidates For The First Time Under Amended Law. https://t.co/4BSWkivj6a,0,0,2021-12-21 06:37:39+00:00
159,@LgbtqIndia @dt_next Adding misgendering to the triggers...,1,0,2021-12-21 06:31:41+00:00
160,"RT @LgbtqIndia: Bengaluru: Over 5,000 people take part in Namma Pride march, demand legalisation of same sex marriage https://t.co/dwMTECdk…",0,0,2021-12-21 05:19:00+00:00
161,"RT @LgbtqIndia: Umadevi was unable to accept her daughter Akshita's gender identity, she wanted to take her for hormone treatment with help…",0,0,2021-12-21 01:44:19+00:00
162,RT @LgbtqIndia: Fighting the good fight @chefritudalmia @MenakaGuruswamy  https://t.co/FGsyyH7jUz,0,0,2021-12-20 15:26:40+00:00
163,RT @LgbtqIndia: 'I now pronounce you husband and husband': Telangana's first gay wedding takes place in Hyderabad https://t.co/5El9GGVJ8E v…,0,0,2021-12-20 12:57:22+00:00
164,"RT @nedricknews: 'पहले गे कपल' ने रचाई हैदराबाद में शादी, 8 सालों से कर रहे थे एक दूसरे को डेट! 

#Hyderabad #SocialMedia #ViralNews #Gay #…",0,0,2021-12-20 12:50:38+00:00
165,"RT @nedricknews: 'पहले गे कपल' ने रचाई हैदराबाद में शादी, 8 सालों से कर रहे थे एक दूसरे को डेट! 

#Hyderabad #SocialMedia #ViralNews #Gay #…",0,0,2021-12-20 12:30:37+00:00
166,RT @LgbtqIndia: Fighting the good fight @chefritudalmia @MenakaGuruswamy  https://t.co/FGsyyH7jUz,0,0,2021-12-20 09:53:29+00:00
167,"RT @nedricknews: 'पहले गे कपल' ने रचाई हैदराबाद में शादी, 8 सालों से कर रहे थे एक दूसरे को डेट! 

#Hyderabad #SocialMedia #ViralNews #Gay #…",0,0,2021-12-20 09:41:58+00:00
168,RT @LgbtqIndia: Hyderabad: Gay wedding officiated by trans woman for first time in India https://t.co/Po1hXVSB1H via @TelanganaToday,0,0,2021-12-20 09:40:38+00:00
